Description,SKSCodes_range,SKSCodes
Anden bløddelsreumatisme [DM70-DM79],DM70-DM79,"DM70, DM700, DM700A, DM700B, DM701, DM702, DM703, DM704, DM705, DM705A, DM706, DM706A, DM707, DM707A, DM708, DM709, DM71, DM710, DM711, DM712, DM713, DM713A, DM713B, DM713B1, DM713B2, DM713C, DM713C1, DM713C2, DM713D, DM713D1, DM713D2, DM714, DM715, DM718, DM719, DM719A, DM72, DM720, DM720A, DM721, DM722, DM724, DM724A, DM726, DM728, DM728A, DM728B, DM728C, DM728D, DM729, DM729A, DM729B, DM73, DM730, DM731, DM738, DM75, DM750, DM751, DM751A, DM751B, DM751C, DM752, DM753, DM753A, DM754, DM755, DM755A, DM758, DM759, DM76, DM760, DM761, DM762, DM763, DM763A, DM763B, DM764, DM765, DM766, DM766A, DM767, DM768, DM768A, DM768B, DM769, DM77, DM770, DM771, DM772, DM773, DM774, DM775, DM778, DM779, DM779A, DM79, DM790, DM791, DM792, DM792A, DM792B, DM793, DM793A, DM793B, DM793C, DM793D, DM793E, DM794, DM795, DM796, DM797, DM797A, DM798, DM798A, DM798B, DM798C, DM798D, DM799"
Forstyrrelser i knogletæthed og struktur [DM80-DM85],DM80-DM85,"DM80, DM800, DM801, DM802, DM803, DM804, DM805, DM808, DM809, DM809A, DM809B, DM809C, DM81, DM810, DM811, DM812, DM813, DM814, DM815, DM816, DM818, DM818A, DM819, DM82, DM820, DM821, DM828, DM83, DM830, DM831, DM832, DM832A, DM833, DM834, DM835, DM838, DM839, DM84, DM840, DM841, DM842, DM843, DM844, DM844A, DM845, DM848, DM849, DM85, DM850, DM851, DM852, DM852A, DM853, DM854, DM855, DM856, DM858, DM858A, DM859"
Andre sygdomme i knogle [DM86-DM90],DM86-DM90,"DM86, DM860, DM861, DM862, DM863, DM864, DM865, DM865A, DM866, DM868, DM868A, DM869, DM869A, DM869B, DM869C, DM87, DM870, DM871, DM872, DM873, DM878, DM879, DM88, DM880, DM888, DM889, DM89, DM890, DM891, DM892, DM893, DM894, DM894A, DM894B, DM894C, DM895, DM896, DM898, DM898A, DM898B, DM899, DM90, DM900, DM901, DM902, DM903, DM904, DM905, DM906, DM907, DM908"
Sygdomme i brusk [DM91-DM94],DM91-DM94,"DM91, DM910, DM910A, DM910B, DM910C, DM910D, DM911, DM912, DM913, DM918, DM918A, DM919, DM92, DM920, DM920A, DM920B, DM921, DM921A, DM921B, DM921C, DM921D, DM922, DM922A, DM922B, DM922C, DM923, DM924, DM925, DM925A, DM925B, DM926, DM926B, DM926C, DM926D, DM927, DM927A, DM928, DM928A, DM929, DM93, DM930, DM931, DM932, DM932A, DM932B, DM938, DM939, DM94, DM940, DM941, DM942, DM943, DM948, DM948A, DM948B, DM948D, DM948E, DM948F, DM948G, DM948H, DM949"
"Andre sygdomme i knogler, muskler og bindevæv [DM95-DM99]",DM95-DM99,"DM95, DM950, DM951, DM952, DM952A, DM952B, DM953, DM954, DM954A, DM954B, DM955, DM958, DM959, DM96, DM960, DM960A, DM960B, DM961, DM962, DM963, DM964, DM965, DM966, DM968, DM968A, DM969, DM99, DM990, DM990A, DM990B, DM991, DM992, DM993, DM994, DM995, DM996, DM997, DM998, DM999"
Glomerulære sygdomme [DN00-DN08],DN00-DN08,"DN00, DN000, DN001, DN002, DN003, DN004, DN005, DN006, DN007, DN008, DN008A, DN009, DN01, DN010, DN011, DN012, DN013, DN014, DN015, DN016, DN017, DN018, DN018A, DN019, DN02, DN020, DN021, DN022, DN023, DN024, DN025, DN026, DN027, DN028, DN028C, DN029, DN029A, DN029B, DN03, DN030, DN031, DN032, DN033, DN034, DN035, DN036, DN037, DN038, DN038A, DN039, DN04, DN040, DN041, DN042, DN043, DN044, DN045, DN046, DN047, DN048, DN048A, DN049, DN05, DN050, DN051, DN052, DN053, DN054, DN055, DN056, DN057, DN058, DN058A, DN059, DN06, DN060, DN061, DN062, DN063, DN064, DN065, DN066, DN067, DN068, DN068A, DN069, DN07, DN070, DN071, DN072, DN073, DN074, DN075, DN076, DN077, DN078, DN078A, DN079, DN08, DN080, DN081, DN082, DN083, DN084, DN085, DN088"
Tubulointerstitielle nyresygdomme [DN10-DN16],DN10-DN16,"DN10, DN109, DN109A, DN109B, DN109C, DN11, DN110, DN110A, DN111, DN111A, DN111B, DN118, DN118A, DN118B, DN118C, DN118D, DN119, DN12, DN129, DN13, DN130, DN131, DN131A, DN132, DN132A, DN132B, DN133, DN133A, DN134, DN135, DN135A, DN135B, DN136, DN136A, DN136B, DN136C, DN136D, DN136E, DN137, DN138, DN138A, DN139, DN139A, DN139B, DN139C, DN14, DN140, DN140A, DN141, DN142, DN143, DN144, DN15, DN150, DN151, DN151A, DN151B, DN158, DN159, DN16, DN160, DN161, DN162, DN163, DN164, DN165, DN168"
Nyreinsufficiens [DN17-DN19],DN17-DN19,"DN17, DN170, DN171, DN172, DN178, DN179, DN18, DN181, DN182, DN183, DN184, DN185, DN189, DN19, DN199"
Urinvejssten [DN20-DN23],DN20-DN23,"DN20, DN200, DN200A, DN200F, DN200I, DN200M, DN200S, DN200X, DN200X1, DN200X2, DN200Y, DN200Z, DN201, DN201A, DN201F, DN201I, DN201M, DN201S, DN201X, DN201X1, DN201X2, DN201Y, DN201Z, DN202, DN202A, DN202F, DN202I, DN202M, DN202S, DN202X, DN202X1, DN202X2, DN202Y, DN202Z, DN209, DN209A, DN21, DN210, DN210A, DN211, DN218, DN219, DN22, DN220, DN228, DN23, DN239"
Andre sygdomme i nyre og urinleder [DN25-DN29],DN25-DN29,"DN25, DN250, DN250B, DN251, DN258, DN258A, DN258B, DN258C, DN259, DN26, DN269, DN27, DN270, DN271, DN279, DN28, DN280, DN280A, DN280B, DN280C, DN280D, DN281, DN288, DN288A, DN288B, DN288C, DN288D, DN288E, DN288F, DN288G, DN288H, DN288J, DN289, DN289A, DN29, DN290, DN291, DN298"
Andre sygdomme i urinvejene [DN30-DN39],DN30-DN39,"DN30, DN300, DN301, DN302, DN303, DN303A, DN304, DN308, DN308A, DN308B, DN308C, DN308D, DN308E, DN308F, DN308G, DN308H, DN308J, DN308K, DN309, DN31, DN310, DN311, DN312, DN318, DN318A, DN319, DN32, DN320, DN320A, DN320B, DN321, DN321A, DN322, DN323, DN324, DN328, DN328A, DN328B, DN328C, DN328D, DN328E, DN328F, DN329, DN33, DN330, DN338, DN34, DN340, DN340B, DN340C, DN341, DN342, DN342A, DN342B, DN342C, DN342D, DN342E, DN342F, DN342G, DN343, DN35, DN350, DN350A, DN351, DN358, DN358A, DN359, DN36, DN360, DN360A, DN360B, DN360C, DN361, DN362, DN363, DN363A, DN368, DN368A, DN368B, DN368D, DN368E, DN369, DN37, DN370, DN378, DN39, DN390, DN390A, DN390B, DN391, DN392, DN393, DN394, DN394A, DN394B, DN394C, DN398, DN398A, DN399, DN399A"
Sygdomme i mandlige kønsorganer [DN40-DN51],DN40-DN51,"DN40, DN409, DN409B, DN409E, DN409G, DN41, DN410, DN411, DN412, DN412A, DN413, DN413A, DN418, DN419, DN42, DN420, DN421, DN422, DN423, DN428, DN428A, DN429, DN43, DN430, DN431, DN432, DN433, DN434, DN44, DN449, DN449A, DN449B, DN449C, DN449D, DN449E, DN45, DN450, DN450A, DN450B, DN450C, DN459, DN459A, DN459B, DN459C, DN459D, DN459E, DN46, DN469, DN469A, DN469B, DN469C, DN469D, DN469E, DN469W, DN47, DN479, DN479A, DN479B, DN479C, DN479D, DN479E, DN48, DN480, DN480A, DN480B, DN481, DN481A, DN481B, DN481C, DN481D, DN482, DN482A, DN482B, DN482C, DN482D, DN482E, DN482F, DN482G, DN482H, DN482I, DN483, DN484, DN485, DN485A, DN485B, DN486, DN486A, DN488, DN488A, DN488B, DN488C, DN488D, DN488E, DN488F, DN488G, DN488H, DN488J, DN488K, DN489, DN49, DN490, DN491, DN491A, DN491B, DN491C, DN491D, DN492, DN492A, DN492B, DN492C, DN492D, DN498, DN498A, DN498B, DN498C, DN498M, DN499, DN50, DN500, DN501, DN501A, DN501B, DN501C, DN501D, DN501E, DN501F, DN502, DN502A, DN502B, DN502C, DN508, DN508A, DN508B, DN508C, DN508D, DN508E, DN508F, DN508G, DN508H, DN508I, DN508J, DN508K, DN508L, DN508M, DN508N, DN508O, DN508P, DN508Q, DN508R, DN508S, DN508T, DN508U, DN508V, DN508X, DN508Y, DN509, DN51, DN510, DN511, DN511K, DN511L, DN512, DN518"
Sygdomme i brystkirtel [DN60-DN64],DN60-DN64,"DN60, DN600, DN600A, DN601, DN602, DN603, DN603A, DN603B, DN604, DN608, DN608A, DN609, DN61, DN619, DN619A, DN619B, DN619E, DN62, DN629, DN629A, DN629B, DN629D, DN629E, DN63, DN639, DN64, DN640, DN640A, DN640B, DN641, DN642, DN643, DN644, DN644A, DN644B, DN645, DN645A, DN645B, DN645C, DN645D, DN648, DN648A, DN648D, DN648E, DN648F, DN648G, DN648H, DN649"
Underlivsbetændelse [DN70-DN77],DN70-DN77,"DN70, DN700, DN700A, DN700B, DN700C, DN700D, DN700E, DN700F, DN700G, DN701, DN701A, DN701B, DN701C, DN701D, DN701E, DN701F, DN701G, DN701H, DN709, DN709A, DN709B, DN709C, DN71, DN710, DN710A, DN710C, DN710D, DN710E, DN710F, DN711, DN711A, DN711B, DN711D, DN711E, DN711F, DN719, DN72, DN729, DN729A, DN729B, DN729C, DN729D, DN729E, DN729F, DN73, DN730, DN730A, DN730B, DN730C, DN730D, DN730E, DN731, DN731A, DN731B, DN731C, DN731D, DN731E, DN732, DN732A, DN732B, DN732C, DN732D, DN732E, DN733, DN733A, DN734, DN734A, DN735, DN735A, DN736, DN736A, DN736B, DN738, DN738A, DN738B, DN738C, DN739, DN74, DN740, DN741, DN741A, DN742, DN743, DN744, DN748, DN75, DN750, DN751, DN758, DN758A, DN758B, DN758C, DN759, DN76, DN760, DN760B, DN760C, DN760D, DN760E, DN761, DN761A, DN761B, DN761C, DN761D, DN761E, DN762, DN762A, DN763, DN763A, DN763B, DN764, DN764A, DN764B, DN764C, DN764D, DN764E, DN765, DN766, DN766A, DN768, DN768A, DN768B, DN768C, DN77, DN770, DN771, DN771P, DN771Q, DN771R, DN778"
Ikke-inflammatoriske sygdomme i kvindelige kønsorganer [DN80-DN98],DN80-DN98,"DN80, DN800, DN801, DN802, DN803, DN804, DN804A, DN804B, DN805, DN805A, DN805B, DN805C, DN806, DN808, DN808A, DN808B, DN808C, DN808D, DN809, DN81, DN810, DN811, DN812, DN813, DN813A, DN814, DN815, DN815A, DN816, DN816A, DN817, DN818, DN818A, DN818B, DN818C, DN818D, DN819, DN82, DN820, DN821, DN821A, DN821B, DN821C, DN821D, DN821E, DN822, DN823, DN823A, DN824, DN824A, DN824B, DN825, DN825A, DN825B, DN825C, DN825D, DN825E, DN825F, DN828, DN828A, DN828B, DN828C, DN828D, DN828E, DN828F, DN829, DN83, DN830, DN830A, DN831, DN831A, DN831B, DN832, DN832A, DN832B, DN832C, DN832D, DN832X, DN833, DN833A, DN833B, DN834, DN834A, DN834B, DN834C, DN835, DN835A, DN835B, DN835C, DN835D, DN835E, DN836, DN837, DN838, DN838A, DN838B, DN838C, DN838D, DN838E, DN838F, DN838G, DN838H, DN838I, DN838J, DN838K, DN839, DN84, DN840, DN840A, DN840B, DN841, DN841A, DN842, DN843, DN843A, DN843B, DN848, DN849, DN85, DN850, DN850A, DN850B, DN851, DN852, DN852A, DN853, DN854, DN854A, DN854B, DN854C, DN855, DN856, DN857, DN857A, DN858, DN858A, DN858B, DN858C, DN858E, DN858F, DN858G, DN858H, DN858I, DN858J, DN858K, DN858L, DN858M, DN858N, DN858O, DN859, DN86, DN869, DN869A, DN869B, DN869C, DN869D, DN869E, DN87, DN870, DN871, DN872, DN879, DN88, DN880, DN881, DN881A, DN881B, DN881C, DN882, DN882A, DN882B, DN883, DN884, DN888, DN888A, DN888B, DN888C, DN888D, DN888E, DN888F, DN888G, DN888H, DN889, DN89, DN890, DN891, DN892, DN893, DN894, DN895, DN895A, DN895B, DN895C, DN895D, DN895E, DN896, DN896A, DN896B, DN897, DN897A, DN897B, DN898, DN898A, DN898B, DN898C, DN898D, DN898E, DN898F, DN898G, DN898H, DN898J, DN899, DN90, DN900, DN900A, DN901, DN902, DN902A, DN902B, DN903, DN904, DN904A, DN905, DN905A, DN906, DN907, DN908, DN908A, DN908B, DN908C, DN908D, DN908E, DN908F, DN908G, DN909, DN909A, DN909B, DN91, DN910, DN911, DN912, DN913, DN913A, DN913C, DN914, DN914A, DN914C, DN915, DN915A, DN915C, DN92, DN920, DN920A, DN920B, DN920C, DN921, DN921A, DN921B, DN922, DN922A, DN923, DN924, DN924A, DN924B, DN925, DN925A, DN925B, DN926, DN93, DN930, DN930A, DN930B, DN938, DN938A, DN938B, DN939, DN939A, DN939B, DN94, DN940, DN941, DN942, DN943, DN944, DN945, DN946, DN948, DN948A, DN949, DN95, DN950, DN951, DN951A, DN951B, DN951C, DN951D, DN951E, DN952, DN952A, DN953, DN958, DN959, DN96, DN969, DN97, DN970, DN971, DN972, DN973, DN974, DN978, DN978A, DN978B, DN978B1, DN978C, DN978D, DN978E, DN978F, DN979, DN98, DN980, DN981, DN981A, DN981B, DN981C, DN981D, DN982, DN983, DN984, DN985, DN986, DN988, DN989"
Andre sygdomme i urin- og kønsorganer [DN99-DN99],DN99-DN99,"DN99, DN990, DN991, DN991A, DN991B, DN992, DN993, DN994, DN995, DN998, DN998A, DN998A1, DN998A2, DN999"
"Graviditet, der ender med abort [DO00-DO08]",DO00-DO08,"DO00, DO000, DO001, DO002, DO003, DO003A, DO003B, DO008, DO008A, DO008B, DO008C, DO008D, DO008E, DO009, DO01, DO010, DO011, DO019, DO019A, DO02, DO020, DO021, DO022, DO028, DO029, DO03, DO030, DO031, DO032, DO033, DO034, DO035, DO036, DO037, DO038, DO039, DO04, DO049, DO05, DO050, DO059, DO06, DO069, DO07, DO079, DO08, DO080, DO080B, DO080O, DO080U, DO081, DO081G, DO082, DO083, DO084, DO085, DO086, DO086R, DO087, DO088, DO088L, DO089"
"Ødem, proteinuri og hypertension i graviditet, under fødsel og barselperiode [DO10-DO16]",DO10-DO16,"DO10, DO100, DO101, DO102, DO103, DO104, DO109, DO11, DO119, DO119A, DO119B, DO119C, DO12, DO120, DO121, DO122, DO13, DO139, DO14, DO140, DO141, DO142, DO149, DO15, DO150, DO151, DO152, DO159, DO16, DO169"
Andre sygdomme hos moder overvejende forbundet med graviditet [DO20-DO29],DO20-DO29,"DO20, DO200, DO208, DO208A, DO208B, DO208C, DO209, DO21, DO210, DO211, DO212, DO218, DO219, DO22, DO220, DO221, DO221A, DO221B, DO221C, DO222, DO223, DO224, DO225, DO225A, DO228, DO229, DO23, DO230, DO231, DO232, DO233, DO234, DO235, DO235A, DO239, DO24, DO240, DO240A, DO240B, DO240C, DO241, DO241A, DO241B, DO241C, DO242, DO242A, DO242B, DO242C, DO243, DO243A, DO243B, DO243C, DO244, DO244B, DO244C, DO244D, DO244E, DO245, DO249, DO249A, DO249B, DO249C, DO25, DO259, DO26, DO260, DO261, DO262, DO263, DO264, DO265, DO266, DO266A, DO266B, DO266C, DO266D, DO266F, DO266G, DO267, DO267A, DO267B, DO268, DO268A, DO268B, DO268C, DO268D, DO268E, DO268F, DO268G, DO268H, DO268J, DO269, DO28, DO280, DO281, DO282, DO283, DO283A, DO283A1, DO284, DO285, DO285A, DO285B, DO288, DO289, DO29, DO290, DO290A, DO290B, DO290C, DO291, DO291A, DO291B, DO292, DO292A, DO293, DO294, DO295, DO296, DO298, DO299"
"Tilstande med relation til foster, amnion, placenta og potentielle fødselsproblemer som årsag til graviditetskontrol [DO30-DO49]",DO30-DO49,"DO30, DO300, DO300C, DO300D, DO300E, DO301, DO302, DO308, DO308A, DO308A1, DO308A2, DO309, DO31, DO310, DO311, DO312, DO312C, DO312D, DO318, DO318C, DO32, DO320, DO321, DO322, DO322A, DO322B, DO323, DO323A, DO323B, DO324, DO325, DO326, DO328, DO329, DO33, DO330, DO331, DO332, DO333, DO334, DO335, DO336, DO337, DO337A, DO337B, DO337C, DO337D, DO337E, DO337F, DO338, DO339, DO339A, DO339B, DO34, DO340, DO340A, DO341, DO342, DO343, DO343A, DO343B, DO343C, DO344, DO344A, DO344B, DO344C, DO344D, DO344E, DO344F, DO345, DO345A, DO345B, DO345C, DO345D, DO346, DO346A, DO346B, DO346C, DO346D, DO346E, DO347, DO347A, DO347B, DO347C, DO347D, DO347E, DO347F, DO348, DO348A, DO348B, DO348C, DO348D, DO348G, DO349, DO35, DO350, DO350A, DO350B, DO351, DO352, DO353, DO353A, DO353B, DO354, DO355, DO355A, DO356, DO357, DO357A, DO357B, DO357C, DO357D, DO357E, DO357F, DO357G, DO358, DO358A, DO358B, DO359, DO359A, DO359B, DO359B1, DO359B2, DO36, DO360, DO361, DO361A, DO361B, DO362, DO362A, DO362B, DO362C, DO362D, DO363, DO364, DO365, DO365A, DO365B, DO365C, DO365D, DO366, DO367, DO368, DO368A, DO368B, DO368D, DO368E, DO368E1, DO368E2, DO368F, DO368G, DO368H, DO368K, DO368L, DO368M, DO368N, DO368P, DO368Q, DO368Q1, DO368Q2, DO368R, DO368S, DO368T, DO369, DO40, DO409, DO41, DO410, DO411, DO411A, DO411B, DO411C, DO411D, DO418, DO418A, DO418B, DO418C, DO419, DO42, DO420, DO422, DO423, DO424, DO429, DO43, DO430, DO430C, DO430D, DO430E, DO430F, DO430G, DO431, DO431A, DO431C, DO431E, DO431F, DO438, DO438A, DO438B, DO438C, DO438D, DO438E, DO438F, DO439, DO44, DO440, DO440A, DO440B, DO441, DO441A, DO441B, DO449, DO45, DO450, DO458, DO459, DO46, DO460, DO468, DO468A, DO469, DO47, DO470, DO471, DO472, DO479, DO48, DO489, DO49, DO499"
Fødselskomplikationer [DO60-DO75],DO60-DO75,"DO60, DO600, DO601, DO602, DO603, DO609, DO61, DO610, DO610A, DO610B, DO611, DO618, DO619, DO62, DO620, DO620A, DO620B, DO620C, DO620F, DO621, DO621A, DO622, DO622A, DO623, DO624, DO624A, DO624B, DO624C, DO624D, DO628, DO629, DO63, DO630, DO630A, DO631, DO632, DO632A, DO639, DO64, DO640, DO640A, DO640B, DO640C, DO640D, DO640E, DO640F, DO640G, DO640H, DO641, DO641A, DO642, DO643, DO644, DO645, DO648, DO649, DO65, DO650, DO651, DO652, DO653, DO654, DO655, DO656, DO658, DO659, DO66, DO660, DO661, DO662, DO663, DO663A, DO663B, DO663C, DO663D, DO663E, DO663F, DO663G, DO663H, DO663I, DO664, DO665, DO665A, DO665B, DO668, DO668A, DO669, DO67, DO670, DO670B, DO670C, DO670D, DO670E, DO678, DO678A, DO679, DO68, DO680, DO680A, DO680C, DO680D, DO680F, DO681, DO681A, DO682, DO683, DO688, DO688A, DO688B, DO689, DO69, DO690, DO691, DO692, DO692A, DO692B, DO693, DO694, DO694A, DO695, DO695A, DO695B, DO698, DO698A, DO699, DO70, DO700, DO700A, DO700B, DO700C, DO700D, DO701, DO701B, DO702, DO702D, DO702E, DO702G, DO703, DO704, DO709, DO71, DO710, DO710A, DO710B, DO711, DO711A, DO711AA, DO711AB, DO711B, DO712, DO713, DO714, DO715, DO715A, DO715B, DO715C, DO715D, DO716, DO716A, DO716B, DO716C, DO716D, DO717, DO718, DO719, DO72, DO720, DO721, DO722, DO73, DO730, DO730A, DO730A1, DO730A2, DO730A3, DO731, DO731A, DO731B, DO74, DO740, DO740A, DO741, DO741A, DO742, DO742A, DO742B, DO743, DO743A, DO744, DO745, DO745A, DO745B, DO746, DO747, DO748, DO748A, DO749, DO75, DO750, DO751, DO752, DO753, DO753A, DO754, DO754A, DO754B, DO754C, DO754D, DO754E, DO754F, DO755, DO756, DO756A, DO756B, DO757, DO758, DO758A, DO759"
Fødsel [DO80-DO84],DO80-DO84,"DO80, DO809, DO81, DO819, DO82, DO829, DO83, DO836, DO837, DO838, DO839, DO84, DO840, DO841, DO842, DO842A, DO846, DO847, DO848, DO849"
Komplikationer i barselsperioden [DO85-DO92],DO85-DO92,"DO85, DO859, DO859A, DO859B, DO86, DO860, DO860A, DO860B, DO860C, DO860D, DO861, DO861A, DO861B, DO861C, DO862, DO862A, DO862B, DO862C, DO863, DO863A, DO863B, DO864, DO868, DO87, DO870, DO871, DO871A, DO872, DO873, DO873A, DO878, DO879, DO88, DO880, DO881, DO882, DO882A, DO882B, DO882C, DO882D, DO882E, DO883, DO888, DO888A, DO89, DO890, DO890A, DO890B, DO890C, DO891, DO891A, DO891B, DO892, DO892A, DO893, DO894, DO895, DO896, DO898, DO899, DO90, DO900, DO901, DO901A, DO902, DO903, DO904, DO904A, DO905, DO908, DO908A, DO908B, DO908C, DO908D, DO909, DO91, DO910, DO910A, DO910B, DO910C, DO910D, DO910E, DO910F, DO911, DO911A, DO911B, DO911C, DO911D, DO911E, DO911F, DO911G, DO911H, DO911I, DO911J, DO911K, DO911L, DO912, DO912A, DO912B, DO912C, DO912D, DO912E, DO912F, DO912G, DO912H, DO912I, DO92, DO920, DO920A, DO921, DO922, DO923, DO924, DO925, DO926, DO927, DO927A, DO927B, DO927C, DO927D"
Andre obstetriske sygdomme IKA [DO98-DO99],DO98-DO99,"DO98, DO980, DO981, DO982, DO983, DO984, DO985, DO985A, DO986, DO987, DO988, DO988A, DO988B, DO988C, DO988D, DO988E, DO988F, DO988G, DO988H, DO989, DO99, DO990, DO990A, DO990B, DO990C, DO991, DO991B, DO991C, DO991D, DO992, DO992B, DO992C, DO993, DO993A, DO993A1, DO993A2, DO993A3, DO993B, DO993B1, DO993B2, DO993B3, DO993B4, DO993B5, DO993B6, DO993B7, DO994, DO995, DO995A, DO995B, DO996, DO996A, DO996B, DO996C, DO997, DO997A, DO998, DO998A, DO998B"
Følger for nyfødt som følge af tilstand hos moder og komplikationer til graviditet og fødsel [DP00-DP04],DP00-DP04,"DP00, DP000, DP001, DP001A, DP002, DP003, DP004, DP005, DP006, DP007, DP008, DP009, DP01, DP010, DP011, DP012, DP013, DP014, DP015, DP015A, DP016, DP017, DP018, DP019, DP02, DP020, DP021, DP021D, DP022, DP022A, DP022B, DP023, DP024, DP025, DP025A, DP025B, DP026, DP027, DP028, DP028A, DP028B, DP029, DP03, DP030, DP031, DP031A, DP031B, DP032, DP033, DP034, DP035, DP036, DP036A, DP036B, DP038, DP039, DP04, DP040, DP040K, DP041, DP042, DP043, DP044, DP045, DP046, DP048, DP049"
Tilstande hos foster og nyfødt relateret til graviditetsvarighed og fostervækst [DP05-DP08],DP05-DP08,"DP05, DP050, DP051, DP052, DP059, DP07, DP070, DP071, DP071A, DP071B, DP072, DP073, DP08, DP080, DP081, DP082"
Fødselslæsioner [DP10-DP15],DP10-DP15,"DP10, DP100, DP100A, DP101, DP102, DP103, DP104, DP108, DP109, DP11, DP110, DP111, DP112, DP113, DP114, DP115, DP115A, DP115B, DP115C, DP119, DP12, DP120, DP121, DP122, DP123, DP124, DP128, DP129, DP13, DP130, DP131, DP132, DP133, DP134, DP138, DP139, DP14, DP140, DP141, DP142, DP143, DP148, DP149, DP15, DP150, DP151, DP152, DP153, DP153A, DP153B, DP153C, DP154, DP154A, DP155, DP156, DP158, DP158A, DP159"
"Sygdomme i åndedræts- og kredsløbsorganer, der er specifikke for perinatalperioden [DP20-DP29]",DP20-DP29,"DP20, DP200, DP200A, DP200B, DP200C, DP200D, DP200E, DP201, DP201A, DP201B, DP201C, DP201D, DP201E, DP209, DP21, DP210, DP210A, DP210B, DP210C, DP210D, DP211, DP211A, DP211B, DP211C, DP211D, DP219, DP22, DP220, DP220A, DP221, DP228, DP229, DP23, DP230, DP231, DP232, DP233, DP234, DP235, DP236, DP236A, DP236B, DP236C, DP236D, DP238, DP239, DP24, DP240, DP241, DP242, DP243, DP248, DP249, DP25, DP250, DP251, DP252, DP253, DP258, DP26, DP260, DP261, DP268, DP269, DP27, DP270, DP271, DP271A, DP271B, DP278, DP278A, DP278B, DP279, DP28, DP280, DP280A, DP280B, DP281, DP281A, DP281B, DP281C, DP282, DP283, DP284, DP285, DP288, DP288A, DP288B, DP289, DP29, DP290, DP291, DP291A, DP292, DP293, DP293A, DP293B, DP294, DP298, DP299"
Infektioner specifikke for perinatalperiode [DP35-DP39],DP35-DP39,"DP35, DP350, DP351, DP352, DP352A, DP353, DP354, DP358, DP358A, DP359, DP36, DP360, DP361, DP362, DP363, DP364, DP365, DP368, DP369, DP37, DP370, DP371, DP371A, DP372, DP373, DP374, DP375, DP378, DP379, DP38, DP389, DP389E, DP39, DP390, DP390A, DP391, DP391A, DP391B, DP391C, DP392, DP393, DP394, DP398, DP399"
Blødningsforstyrrelser og hæmatologiske sygdomme hos nyfødt [DP50-DP61],DP50-DP61,"DP50, DP500, DP501, DP502, DP503, DP504, DP505, DP508, DP509, DP51, DP510, DP518, DP518A, DP519, DP52, DP520, DP521, DP522, DP523, DP524, DP525, DP526, DP528, DP529, DP53, DP539, DP539A, DP54, DP540, DP541, DP542, DP543, DP544, DP545, DP545A, DP545B, DP546, DP548, DP549, DP55, DP550, DP551, DP558, DP559, DP56, DP560, DP569, DP57, DP570, DP578, DP579, DP58, DP580, DP581, DP582, DP583, DP584, DP585, DP588, DP589, DP59, DP590, DP591, DP592, DP593, DP598, DP599, DP60, DP609, DP61, DP610, DP610B, DP610C, DP610D, DP611, DP612, DP613, DP614, DP614A, DP615, DP616, DP618, DP619"
Forbigående hormon- og stofskifteforstyrrelser hos nyfødt [DP70-DP74],DP70-DP74,"DP70, DP700, DP701, DP702, DP703, DP704, DP708, DP709, DP71, DP710, DP711, DP712, DP713, DP713A, DP714, DP718, DP718A, DP718B, DP719, DP72, DP720, DP720A, DP720B, DP721, DP721A, DP722, DP722A, DP728, DP729, DP74, DP740, DP741, DP742, DP742A, DP742B, DP743, DP743A, DP743B, DP744, DP744A, DP744B, DP745, DP748, DP749"
Sygdomme i fordøjelsesorganer hos nyfødt [DP75-DP78],DP75-DP78,"DP75, DP759, DP76, DP760, DP761, DP762, DP768, DP769, DP77, DP779, DP78, DP780, DP780A, DP781, DP782, DP783, DP783A, DP788, DP788A, DP788B, DP789"
Sygdomme i huden og regulering af legemstemperaturen hos nyfødt [DP80-DP83],DP80-DP83,"DP80, DP800, DP808, DP809, DP81, DP810, DP818, DP818A, DP819, DP83, DP830, DP831, DP832, DP833, DP834, DP834A, DP835, DP835A, DP835B, DP836, DP838, DP838A, DP838D, DP838E, DP839"
Andre sygdomme i perinatalperiode [DP90-DP96],DP90-DP96,"DP90, DP909, DP91, DP910, DP911, DP912, DP912A, DP912B, DP913, DP914, DP915, DP916, DP917, DP918, DP918A, DP918B, DP919, DP92, DP920, DP921, DP921A, DP921B, DP922, DP923, DP923A, DP924, DP924A, DP925, DP928, DP929, DP93, DP939, DP939A, DP939B, DP939C, DP939D, DP939E, DP94, DP940, DP941, DP942, DP942A, DP948, DP949, DP95, DP950, DP959, DP96, DP960, DP961, DP962, DP963, DP963A, DP964, DP965, DP968, DP968A, DP969"
